January;2011;0;0;0
February;2011;0;0;0
March;2011;0;0;0
April;2011;0;0;0
May;2011;1;1;0
June;2011;0;0;0
July;2011;0;0;0
August;2011;0;0;0
September;2011;1;1;0
October;2011;11;11;0
November;2011;0;0;0
December;2011;0;0;0
January;2012;0;0;0
February;2012;1;1;0
March;2012;0;0;0
April;2012;0;0;0
May;2012;0;0;0
June;2012;0;0;0
July;2012;0;0;0
August;2012;0;0;0
September;2012;0;0;0
October;2012;0;0;0
November;2012;1;1;0
December;2012;1;1;0
January;2013;0;0;0
February;2013;0;0;0
March;2013;1;0;1
April;2013;0;0;0
May;2013;0;0;0
June;2013;0;0;0
July;2013;0;0;0
August;2013;1;0;1
September;2013;2;1;1
October;2013;3;1;2
November;2013;2;2;0
December;2013;2;2;0
January;2014;2;2;0
February;2014;2;1;1
March;2014;0;0;0
April;2014;2;1;1
May;2014;0;0;0
June;2014;1;1;0
July;2014;1;1;0
August;2014;1;1;0
September;2014;1;1;0
October;2014;4;4;0
November;2014;4;2;2
December;2014;6;5;1
January;2015;1;1;0
February;2015;4;3;1
March;2015;5;3;2
April;2015;5;1;4
May;2015;6;5;1
June;2015;6;4;2
July;2015;7;5;2
August;2015;2;2;0
September;2015;7;6;1
October;2015;14;10;4
November;2015;4;2;2
December;2015;21;14;7
January;2016;43;15;28
February;2016;15;9;6
March;2016;17;14;3
April;2016;22;14;8
May;2016;13;9;4
June;2016;18;11;7
July;2016;28;19;9
August;2016;34;23;11
September;2016;48;29;19
October;2016;51;32;19
November;2016;44;26;18
December;2016;96;52;44
January;2017;72;58;14
February;2017;82;65;17
March;2017;125;87;38
April;2017;93;66;27
May;2017;86;63;23
June;2017;94;65;29
July;2017;79;45;34
August;2017;115;77;38
September;2017;113;81;32
October;2017;126;97;29
November;2017;85;55;30
December;2017;118;80;38
January;2018;129;105;24
February;2018;87;63;24
March;2018;173;138;35
April;2018;115;87;28
May;2018;97;70;27
June;2018;78;50;28
July;2018;152;125;27
August;2018;164;130;34
September;2018;124;81;43
October;2018;191;146;45
November;2018;154;118;36
December;2018;185;124;61
January;2019;153;116;37
February;2019;148;103;45
March;2019;172;119;53
April;2019;162;119;43
May;2019;139;91;48
June;2019;168;122;46
July;2019;157;98;59
August;2019;131;87;44
September;2019;123;86;37
October;2019;193;128;65
November;2019;255;187;68
December;2019;215;168;47
January;2020;205;152;53
February;2020;114;72;42
March;2020;137;93;44
April;2020;177;127;50
May;2020;157;105;52
June;2020;156;115;41
July;2020;146;103;43
August;2020;129;82;47
September;2020;168;115;53
October;2020;167;116;51
November;2020;154;103;51
December;2020;169;101;68
January;2021;132;96;36
February;2021;109;65;44
March;2021;112;75;37
April;2021;188;135;53
May;2021;132;94;38
June;2021;207;124;83
July;2021;257;169;88
August;2021;178;117;61
September;2021;183;118;65
October;2021;0;0;0
November;2021;0;0;0
December;2021;0;0;0
January;2022;0;0;0
February;2022;0;0;0
March;2022;0;0;0
April;2022;0;0;0
May;2022;0;0;0
June;2022;0;0;0
July;2022;0;0;0
August;2022;0;0;0
September;2022;0;0;0
October;2022;0;0;0
November;2022;0;0;0
December;2022;0;0;0
